placeholder,text
title,
description,
image-no,
alt,
developer,
dev-email,
peer-reviewer,
syllabus-cluster-dev,
cluster-dev-email,
syllabus-guide,
syllabus-guide-email,
webpage-dev,
cluster-title,
publication-date-year,
syllabus-file-name,
syllabus-overview,
works-cited,
cluster-description,
biography,
header-image-caption,
syllabus-webpage-name,
